player_id,player_name,sub_position,is_query,in_gallery
2989,Paolo Guerrero,Centre-Forward,True,True
3333,James Milner,Central Midfield,True,True
7161,Jonas Hofmann,Attacking Midfield,True,True
8198,Cristiano Ronaldo,Centre-Forward,True,True
9500,David Marshall,Goalkeeper,True,True
10471,Luiz Gustavo,Defensive Midfield,True,True
11111,Ramiro Funes Mori,Centre-Back,True,True
12029,Ludovic Butelle,Goalkeeper,True,True
12249,Éver Banega,Central Midfield,True,True
12282,Daley Blind,Centre-Back,True,True
14086,Ashley Young,Right-Back,True,True
15452,Raúl Albiol,Centre-Back,True,True
16136,Dante,Centre-Back,True,True
16911,Kasper Schmeichel,Goalkeeper,True,True
17965,Hugo Lloris,Goalkeeper,True,True
18644,Álvaro Negredo,Centre-Forward,True,True
18922,Karim Benzema,Centre-Forward,True,True
18940,Rémy Riou,Goalkeeper,True,True
19041,Gökhan Inler,Defensive Midfield,True,True
20506,Andrés Guardado,Central Midfield,True,True
21327,Ron-Robert Zieler,Goalkeeper,True,True
22141,Antonio Mirante,Goalkeeper,True,True
22628,Benoît Costil,Goalkeeper,True,True
22860,Jesper Hansen,Goalkeeper,True,True
23951,Steve Mandanda,Goalkeeper,True,True
25488,Antonio Candreva,Right Midfield,True,True
25508,Salvatore Sirigu,Goalkeeper,True,True
26485,Jérôme Boateng,Centre-Back,True,True
27389,Kévin Gameiro,Centre-Forward,True,True
27490,Jean-Louis Leca,Goalkeeper,True,True
27493,Iván Cuéllar,Goalkeeper,True,True
27807,Daniele Padelli,Goalkeeper,True,True
27992,Luka Modrić,Central Midfield,True,True
28140,Max Gradel,Left Winger,True,True
28356,Denis Petric,Goalkeeper,True,True
28396,Edin Dzeko,Centre-Forward,True,True
28973,Steven Davis,Central Midfield,True,True
29241,Thiago Silva,Centre-Back,True,True
29559,Guillermo Ochoa,Goalkeeper,True,True
29692,Lukasz Fabianski,Goalkeeper,True,True
29712,John Ruddy,Goalkeeper,True,True
30321,Óscar Trejo,Attacking Midfield,True,True
